Neighbourhood ID,Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed
2360,INDUSTRIAL HEIGHTS,3,NA,NA,NA,NA,NA,NA,NA,TRUE
2380,KENNEDALE INDUSTRIAL,4,NA,NA,NA,NA,NA,NA,NA,TRUE
2390,KERNOHAN,1138,336155.97539543046,340500,98866.21142279622,1978,34.00702987697715,381408.12250332884,559.0555392809587,FALSE
2400,KILDARE,957,290500.5224660391,354500,116059.4109588347,1968,31.347962382445143,358237.44292237447,545.549700152207,FALSE
2410,KILKENNY,1599,343840.5253283298,376000,110919.09756204819,1969,17.636022514071296,385787.0159453304,564.8975223993925,FALSE
2420,KILLARNEY,860,354524.4186046512,352500,90310.903862556,1960,1.5116279069767442,355817.59149940975,612.1550826446281,FALSE
2430,KIRKNESS,1291,334874.51587916387,341000,182952.96589533935,1987,30.983733539891556,391635.8024691357,480.77988103254773,FALSE
2440,KLARVATTEN,2272,464453.5651408454,456500,127057.71900637439,2005,13.204225352112676,489777.3833671401,426.15132657200814,FALSE
2450,LAGO LINDO,1374,389447.23435225605,391250,90828.60019626483,1983,8.078602620087336,405151.6231195566,543.2054916864608,FALSE
2462,CRYSTALLINA NERA EAST,767,451539.11342894455,497500,552723.5029029918,2024,0,451539.11342894455,730.8709348109513,FALSE
2463,CRYSTALLINA NERA WEST,1403,474485.74483250204,478000,175737.7342040655,2017,31.361368496079827,561537.9023883697,467.5802357217031,FALSE
2500,MATT BERRY,1313,469004.18888042716,493500,187247.92654702318,1997,13.861386138613863,505358.09018567635,593.2525349248452,FALSE
2511,MAYLIEWAN,1256,517920.78025477665,509500,97009.05559091747,1999,2.7070063694267517,520836.33387888724,554.8289214402619,FALSE
2522,MCCONACHIE,3708,482262.0010787492,489750,159598.63733134847,2015,15.453074433656958,527232.6953748002,411.66316267942585,FALSE
2530,MCLEOD,881,398975.5959137345,382000,69823.00859146503,1969,0,398975.5959137345,622.2698626560726,FALSE
2541,MILLER,1025,389689.75609756046,413000,111155.2038292375,2002,36.58536585365854,459150.7692307694,505.139983076923,FALSE
2550,MONTROSE,1155,283744.15584415593,275500,97627.55575669186,1953,9.61038961038961,295382.1839080459,460.2488505747126,FALSE
2560,NEWTON,1153,336117.5195143104,333000,100760.63290883543,1959,4.943625325238508,346633.66788321186,517.9921906934306,FALSE
